trade_year,fund_type,L_t,T_remaining,pi_observed
2020,Infra,0.496,6.5,0.0722
2020,Buyout,0.587,7.5,0.1003
2020,Buyout,0.589,6.19,0.0908
2020,Growth,0.601,5.12,0.0852
2020,Buyout,0.619,2.22,0.0449
2020,Buyout,0.694,11.61,0.1406
2020,Buyout,0.886,0.77,0.0208
2020,Buyout,0.95,1.58,0.0756
2020,VC,0.968,10.53,0.1136
2021,Buyout,-1.483,8.46,0.3521
2021,Buyout,-1.316,1.26,0.1175
2021,Buyout,-0.5,5.01,0.1456
2021,Buyout,-0.492,2.66,0.1054
2021,Buyout,-0.08,7.3,0.1176
2021,Growth,-0.035,11.94,0.1749
2021,Infra,0.075,7.7,0.1041
2021,Buyout,0.189,9.63,0.1222
2021,Growth,0.19,10.35,0.1323
2021,Buyout,0.223,10.5,0.1477
2021,Infra,0.239,11.28,0.1444
2021,Buyout,0.284,6.79,0.0782
2021,Infra,0.405,8.94,0.0913
2021,Buyout,0.443,11.63,0.1204
2021,Credit,0.457,1.82,0.032
2021,Buyout,0.474,3.24,0.0394
2021,VC,0.512,8.82,0.1219
2021,Buyout,0.513,4.83,0.0802
2021,Growth,0.531,1.06,0.0294
2021,Buyout,0.557,3.26,0.0592
2021,Buyout,0.563,4.91,0.0835
2021,Infra,0.567,3.11,0.0372
2021,Buyout,0.568,8.85,0.1263
2021,Buyout,0.614,1.52,0.0226
2021,Credit,0.634,5.26,0.0803
2021,Buyout,0.636,6.85,0.1063
2021,Infra,0.655,7.52,0.0748
2021,Growth,0.768,7.1,0.0839
2021,Infra,0.931,8.31,0.1111
2021,Buyout,1.065,5.63,0.078
2022,VC,-2.011,5.02,0.4109
2022,Growth,-1.481,9.38,0.398
2022,Buyout,-1.348,0.79,0.1502
2022,RE,-1.043,11.85,0.3135
2022,Buyout,-0.97,1.66,0.105
2022,Buyout,-0.949,6.42,0.2293
2022,Growth,-0.811,5.31,0.18
2022,Growth,-0.579,5.25,0.1588
2022,Buyout,-0.302,4.7,0.1266
2022,VC,-0.2,4.23,0.0971
2022,Buyout,-0.176,4.74,0.1035
2022,Buyout,-0.081,10.76,0.1631
2022,Credit,0.015,5.74,0.1065
2022,Infra,0.115,5.65,0.0966
2022,Growth,0.158,10.19,0.1246
2022,VC,0.178,1.53,0.0656
2022,Buyout,0.193,6.96,0.1369
2022,Buyout,0.276,8.43,0.1229
2022,Buyout,0.277,1.87,0.0607
2022,RE,0.402,3.23,0.0658
2022,Growth,0.423,5.33,0.0699
2022,RE,0.476,1.7,0.0482
2022,Credit,0.503,0.95,0.0137
2022,Buyout,0.503,6.23,0.0966
2022,Buyout,0.504,7.36,0.0739
2022,Buyout,0.552,3.53,0.0567
2022,Buyout,0.583,7.96,0.1279
2022,VC,0.593,11.36,0.1359
2022,Buyout,0.603,11.37,0.1349
2022,Buyout,0.63,5.7,0.0888
2022,VC,0.653,4.75,0.0726
2022,Infra,0.659,1.54,0.0668
2022,Buyout,0.661,7.43,0.0987
2022,Buyout,0.699,10.85,0.1122
2022,Growth,0.71,10.96,0.1463
2022,Buyout,0.717,6.57,0.1241
2022,RE,0.784,1.29,0.0798
2022,RE,0.791,7.34,0.1167
2022,VC,0.901,0.88,0.0437
2022,Buyout,0.931,3.53,0.0803
2022,Infra,1.0,6.39,0.0815
2022,Credit,1.046,9.4,0.1256
2023,Buyout,-1.939,1.81,0.2062
2023,VC,-1.503,9.88,0.4048
2023,Buyout,-1.317,3.67,0.1909
2023,Growth,-0.946,10.69,0.2988
2023,Buyout,-0.622,2.82,0.1232
2023,Buyout,-0.399,4.21,0.1314
2023,Credit,-0.33,2.23,0.09
2023,RE,-0.253,11.78,0.1958
2023,Credit,-0.174,2.85,0.096
2023,Buyout,-0.011,8.52,0.1316
2023,Buyout,0.051,8.82,0.1244
2023,Growth,0.08,6.68,0.0949
2023,VC,0.197,7.08,0.1082
2023,Buyout,0.198,3.22,0.0936
2023,Buyout,0.2,2.97,0.0897
2023,Credit,0.327,1.58,0.0445
2023,Growth,0.343,6.05,0.0724
2023,Buyout,0.368,3.61,0.0682
2023,Buyout,0.448,1.28,0.0199
2023,Infra,0.471,1.96,0.0827
2023,Buyout,0.483,7.33,0.1088
2023,VC,0.527,4.85,0.0783
2023,Buyout,0.571,11.18,0.1105
2023,Buyout,0.626,5.29,0.0825
2023,Infra,0.643,2.94,0.0729
2023,Buyout,0.645,10.53,0.1146
2023,Buyout,0.647,9.73,0.1109
2023,Buyout,0.722,5.46,0.1032
2023,VC,0.735,1.51,0.0305
2023,Credit,0.766,9.38,0.123
2023,Buyout,0.782,4.39,0.0666
2023,Infra,0.801,1.58,0.0498
2023,VC,0.864,3.38,0.0605
2023,Buyout,0.989,5.37,0.0773
2023,Buyout,1.026,1.02,0.023
2023,RE,1.115,0.56,0.0405
2023,Growth,1.215,5.7,0.0954
2024,Infra,-1.707,8.82,0.4361
2024,Buyout,-1.345,1.18,0.1281
2024,Growth,-0.959,9.82,0.2941
2024,Buyout,-0.676,4.01,0.159
2024,Growth,-0.576,11.9,0.2398
2024,Growth,-0.377,11.67,0.2
2024,Buyout,-0.21,5.82,0.1137
2024,VC,-0.204,2.8,0.0756
2024,Credit,-0.097,11.19,0.1928
2024,Credit,0.177,7.68,0.1238
2024,Growth,0.188,2.25,0.0696
2024,Growth,0.252,4.59,0.0693
2024,Buyout,0.286,11.19,0.1204
2024,Buyout,0.292,11.22,0.1369
2024,Credit,0.34,5.3,0.0862
2024,Buyout,0.373,9.11,0.1159
2024,Buyout,0.377,3.46,0.0756
2024,Buyout,0.379,1.1,0.0544
2024,Growth,0.439,9.65,0.1417
2024,Buyout,0.449,0.75,0.0278
2024,Buyout,0.523,4.73,0.0827
2024,Buyout,0.539,3.71,0.0523
2024,Buyout,0.634,0.92,0.0123
2024,Buyout,0.665,7.55,0.0974
2024,Buyout,0.7,9.77,0.098
2024,VC,0.777,1.61,0.088
2024,Infra,0.985,1.11,0.0335
